division_lat,division_ru,class_lat,class_ru,order_lat,order_ru,family_lat,family_ru,family_takhtajan,genus_lat,genus_ru,species_sci,species_ru,species_uz,plantarium_url,life_form,habitat_env,habitat_place,usage,range_world,range_central_asia,range_uzbekistan,endemism,protected_areas,red_book,life_form_ru,life_form_en,habitat_place_ru,habitat_place_en,usage_ru,usage_en
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Acanthophyllum C.A. Mey.,Колючелистник,Acanthophyllum borszczowii Litv.,колючелистник Борщова,Borshov bo'ritikoni,http://www.plantarium.ru/page/view/item/142.html,ko'p yillik,qumli cho'llar,tekislik,"dorivor, saponinli, asalbop","Balxashbo'yi, Orolbo'yi cho'llar, Mo'yinqum, Qizilqum, Qoraqum, Sirdaryo Qoratov","Balxashbo'yi, Orolbo'yi cho'llar, Mo'yinqum, Qizilqum, Qoraqum, Sirdaryo Qoratov",Qizilqum,,,false,многолетнее,perennial,равнина,plain,"лекарственное, сапониноносное, медоносное","medicinal, saponin-bearing, melliferous"
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Acanthophyllum C.A. Mey.,Колючелистник,Acanthophyllum cyrtostegium Vved.,колючелистник горбатоприцветниковый,"ninasimon oqtikan, bukrigulyonbargchali bo'ritikon",,ko'p yillik,"qumli, gilli, shag'alli cho'llar, ola-bula rangli tog' jinslari ochilmalari, qoldiq tog'li past tog'lar",tekislik,foydalanilmaydi,"Qizilqum, Zirabuloq-Ziyovuddin tog'lari","Qizilqum, Zirabuloq tog'lari","qoldiq tog'lar Quljuqtov, Auminzatau, Kingirtau, Kokchatau, Zirabuloq-Ziyovuddin tog'lari","Qoldiq tog'lar Qizilqum va Zirabulak-Ziadinskix tog'lar endemigi, O'zbekiston endemigi",yo'q,true,многолетнее,perennial,равнина,plain,не используется,not used
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Acanthophyllum C.A. Mey.,Колючелистник,Acanthophyllum elatius Bunge,колючелистник высокий,balandbo'y bo'ritikon,,ko'p yillik,"qumli cho'llar, tog' etaklari tekisliklar",tekislik,saponinli,"O'rta Osiyo, Eron",,"Qizilqum, Qarshi dasht, tog' etagi tekislik Nurota tog'lar, Shirabadskaya dalina",,,false,многолетнее,perennial,равнина,plain,сапониноносное,saponin-bearing
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Acanthophyllum C.A. Mey.,Колючелистник,Acanthophyllum gypsophiloides Regel,колючелистник качимовидный,"kachimsimon bo'ritikon, kachimsimon yetmak, yetmak, bex",,ko'p yillik,"lyossli, mayda tuproqli, shag'alli, toshloq yonbag'irlar, quruq o'zanlar, tashlandiq ekin maydonlari","tog'oldi, past tog'lar, o'rta tog'lar","dorivor, saponinli, oziq-ovqatbop","g'arbiy Tyanshan, g'arbiy Pomir-Oloy","Tyanshan (g'arbiy va Chu-Ili tog'lari), g'arbiy Pomir-Oloy",,Tog'li o'rta Osiyo endemigi,,true,многолетнее,perennial,"предгорья, низкогорья, среднегорья","foothills, low mountains, mid mountains","лекарственное, сапониноносное, пищевое","medicinal, saponin-bearing, food"
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Acanthophyllum C.A. Mey.,Колючелистник,Acanthophyllum korolkowii Regel & Schmalh.,колючелистник Королькова,Korolkov bo'ritikoni,,ko'p yillik,qumli cho'llar,tekislik,saponinli,"Balxashbo'yi cho'llar, Mo'yinqum, Kaspiybo'yi va Orolbo'yi cho'llar, Ustyurt, Qizilqum, Qoraqum, Katta Balxan","Balxashbo'yi cho'llar, Mo'yinqum, Kaspiybo'yi va Orolbo'yi cho'llar, Ustyurt, Qizilqum, Qoraqum, Katta Balxan","Ustyurt, Qizilqum",Cho'llar o'rta Osiyo endemigi,,false,многолетнее,perennial,равнина,plain,сапониноносное,saponin-bearing
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Acanthophyllum C.A. Mey.,Колючелистник,Acanthophyllum krascheninnikovii Schischk.,колючелистник Крашенникова,Krashennikov bo'ritikoni,,ko'p yillik,"qumli, shag'alli cho'llar, qoldiq tog'li past tog'lar","tekislik, tog'oldi",foydalanilmaydi,"Qizilqum, Zirabuloq-Ziyovuddin tog'lari",,"Qizilqum, Zirabuloq-Ziyovuddin tog'lari","Qizilqum va Zirabulak-Ziadinskix tog'lar endemigi, O'zbekiston endemigi",yo'q,false,многолетнее,perennial,"равнина, предгорья","plain, foothills",не используется,not used
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Acanthophyllum C.A. Mey.,Колючелистник,Acanthophyllum paniculatum Regel & Herder,колючелистник метельчатый,supirgisimon bo'ritikon,,ko'p yillik,"qoyalar, tosh sochilmalari, darasi, toshloq, shag'alli yonbag'irlar","tog'oldi, past tog'lar","dorivor, saponinli","Jung'or Olatovi, Tyanshan, shimoliy Pomir-Oloy","Jung'or Olatovi, Tyanshan, Pomir-Oloy (Oloy tizmasi)",,,yo'q,false,многолетнее,perennial,"предгорья, низкогорья","foothills, low mountains","лекарственное, сапониноносное","medicinal, saponin-bearing"
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Acanthophyllum C.A. Mey.,Колючелистник,Acanthophyllum pungens (Bunge) Boiss.,колючелистник колючий,tikanli bo'ritikon,http://www.plantarium.ru/page/view/item/168.html,ko'p yillik,"qumli cho'llar, tog' etaklari tekisliklar, lyossli, mayda tuproqli, shag'alli, toshloq yonbag'irlar, tosh sochilmalari, ola-bula rangli tog' jinslari ochilmalari","tekislik, tog'oldi, past tog'lar, o'rta tog'lar","dorivor, saponinli, asalbop","O'rta Osiyo, shimoli-g'arbiy Mongoliya",Butun O'rta Osiyo bo'ylab (tashqari Pomir),,,,false,многолетнее,perennial,"равнина, предгорья, низкогорья, среднегорья","plain, foothills, low mountains, mid mountains","лекарственное, сапониноносное, медоносное","medicinal, saponin-bearing, melliferous"
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Acanthophyllum C.A. Mey.,Колючелистник,Acanthophyllum sarawschanicum Golenkin,колючелистник зеравшанский,Zarafshon bo'ritikoni,,ko'p yillik,"toshloq, shag'alli yonbag'irlar, qoyalar",o'rta tog'lar,saponinli,shimoli-g'arbiy Pomir-Oloy,shimoli-g'arbiy Pomir-Oloy,,,,false,многолетнее,perennial,среднегорья,mid mountains,сапониноносное,saponin-bearing
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Acanthophyllum C.A. Mey.,Колючелистник,Acanthophyllum stenostegium Freyn,колючелистник узкоцветковый,kambargulli bo'ritikon,http://www.plantarium.ru/page/view/item/175.html,ko'p yillik,"toshloq, shag'alli yonbag'irlar, ola-bula rangli tog' jinslari ochilmalari, tosh sochilmalari, shag'alli cho'llar","tog'oldi, past tog'lar",saponinli,"Orolbo'yi cho'llar, Ustyurt, Qizilqum, Qoraqum, Badhiz, Kopetdog'","Orolbo'yi cho'llar, Ustyurt, Qizilqum, Qoraqum, Badhiz, Kopetdog'",,,,false,многолетнее,perennial,"предгорья, низкогорья","foothills, low mountains",сапониноносное,saponin-bearing
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Acanthophyllum C.A. Mey.,Колючелистник,Acanthophyllum subglabrum Schischk.,колючелистник голый,tuksiz bo'ritikon,http://www.plantarium.ru/page/view/item/176.html,ko'p yillik,"toshloq yonbag'irlar, ola-bula rangli tog' jinslari ochilmalari, tosh sochilmalari","tekislik, tog'oldi, past tog'lar",saponinli,"janubiy Qizilqum, g'arbiy Tyanshan, janubi-g'arbiy Pomir-Oloy, Kopetdog'","janubiy Qizilqum, g'arbiy Tyanshan, janubi-g'arbiy Pomir-Oloy, Kopetdog'",,,,false,многолетнее,perennial,"равнина, предгорья, низкогорья","plain, foothills, low mountains",сапониноносное,saponin-bearing
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Acanthophyllum C.A. Mey.,Колючелистник,Acanthophyllum tadshikistanicum Schischk.,колючелистник таджикский,"Tojikiston yetmagi, tojik bo'ritikoni",,ko'p yillik,"qizil qumtoshlar, ochilmalar gips, toshloq yonbag'irlar, qoyalar","tog'oldi, past tog'lar","dorivor, saponinli, oziq-ovqatbop",janubi-g'arbiy Pomir-Oloy,janubi-g'arbiy Pomir-Oloy,Hisor tizmasi,Janubi-g'arbiy Pomir-Oloy endemigi,yo'q,false,многолетнее,perennial,"предгорья, низкогорья","foothills, low mountains","лекарственное, сапониноносное, пищевое","medicinal, saponin-bearing, food"
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Vaccaria Medik.,Тысячеголов,Vaccaria hispanica (Mill.) Rauschert,тысячеголов испанский,ispan qoramug'i,http://www.plantarium.ru/page/view/item/39761.html,bir yillik,"dalalar, tashlandiq ekin maydonlari, tashlandiq haydalma yerlar, qirg'oqlar ariqlar, o'tloqlar, bo'sh yerlar","tekislik, tog'oldi, past tog'lar, o'rta tog'lar","begona o't, manzarali, dorivor","Yevrosiyo, kirib kelgan shimoliy Amerika va Novuyu Zelandiyu",Butun O'rta Osiyo bo'ylab,Butun O'zbekiston bo'ylab (osnovnom hududlarda oroshaemogo va bogarnogo zemledeliya),,,false,однолетнее,annual,"равнина, предгорья, низкогорья, среднегорья","plain, foothills, low mountains, mid mountains","сорное, декоративное, лекарственное","weed, ornamental, medicinal"
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Dianthus L.,Гвоздика,Dianthus angrenicus Vved.,гвоздика ангренская,Angren chinniguli,http://www.plantarium.ru/page/view/item/13044.html,ko'p yillik,"mayda tuproqli, shag'alli, toshloq yonbag'irlar","o'rta tog'lar, baland tog'lar",foydalanilmaydi,g'arbiy Tyanshan,g'arbiy Tyanshan,"tizmalari Ugom, Piskom, Chotqol, Qurama",G'arbiy Tyanshan endemigi,"Chotqol qo'riqxonasi, Ugom-Chotqol milliy tabiat bog'i",false,многолетнее,perennial,"среднегорья, высокогорья","mid mountains, high mountains",не используется,not used
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Dianthus L.,Гвоздика,Dianthus baldzhuanicus Lincz.,гвоздика бальджуанская,Baljuan chinniguli,,ko'p yillik,"ola-bula rangli tog' jinslari ochilmalari, qizil qumtoshlar, mayda tuproqli, shag'alli yonbag'irlar","past tog'lar, o'rta tog'lar",foydalanilmaydi,Pomir-Oloy,Pomir-Oloy (tashqari Pomir),"tizmalari Hisor, Turkiston, Molguzar, Ko'hitang, Bobotog'",Pomir-Oloy endemigi,"Hisor, Zomin, Surxon qo'riqxonalar, Zomin milliy tabiat bog'i",false,многолетнее,perennial,"низкогорья, среднегорья","low mountains, mid mountains",не используется,not used
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Dianthus L.,Гвоздика,Dianthus brevipetalus Vved.,гвоздика коротколепестная,kattatojbargli chinnigul,,ko'p yillik,"mayda tuproqli, shag'alli yonbag'irlar",o'rta tog'lar,foydalanilmaydi,g'arbiy Pomir-Oloy,Pomir-Oloy (Turkiston va Hisor tizmalari),"tizmalari Hisor, Turkiston",G'arbiy Pomir-Oloy endemigi,Hisor qo'riqxonasi,false,многолетнее,perennial,среднегорья,mid mountains,не используется,not used
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Dianthus L.,Гвоздика,Dianthus darvazicus Lincz.,гвоздика дарвазская,Darvoz chinniguli,,ko'p yillik,"toshloq, shag'alli yonbag'irlar","o'rta tog'lar, baland tog'lar",saponinli,"g'arbiy Tyanshan, Pomir-Oloy",,"Hisor tizmasi, Nurota, Boysun tog'lari",Tog'li o'rta Osiyo endemigi,"Hisor, Nurota qo'riqxonalar",false,многолетнее,perennial,"среднегорья, высокогорья","mid mountains, high mountains",сапониноносное,saponin-bearing
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Dianthus L.,Гвоздика,Dianthus helenae Vved.,гвоздика Елены,Yelena chinniguli,http://www.plantarium.ru/page/view/item/13115.html,ko'p yillik,"mayda tuproqli, shag'alli, toshloq yonbag'irlar","past tog'lar, o'rta tog'lar",foydalanilmaydi,"Nurota tog'lari, Prinuratinskie qoldiq tog'lar",Pomir-Oloy (Xobduntov va Nurota tog'lari),"Nurota tog'lari, Prinuratinskie qoldiq tog'lar","Nurota tog'lar endemigi, O'zbekiston endemigi",Nurota qo'riqxonasi,false,многолетнее,perennial,"низкогорья, среднегорья","low mountains, mid mountains",не используется,not used
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Dianthus L.,Гвоздика,Dianthus karataviensis Pavlov,гвоздика каратавская,Qoratov chinniguli,http://www.plantarium.ru/page/view/item/13123.html,ko'p yillik,shag'alli yonbag'irlar,o'rta tog'lar,foydalanilmaydi,g'arbiy Tyanshan,g'arbiy Tyanshan,"tizmalari Qorajontov, Ugom, Piskom, Maydontol, Chotqol, Qurama",G'arbiy Tyanshan endemigi,Ugom-Chotqol milliy tabiat bog'i,false,многолетнее,perennial,среднегорья,mid mountains,не используется,not used
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Dianthus L.,Гвоздика,Dianthus kuschakewiczii Regel & Schmalh.,гвоздика Кушакевича,Kushakevich chinniguli,http://www.plantarium.ru/page/view/item/13128.html,ko'p yillik,"toshloq, shag'alli yonbag'irlar, shag'alzorlar, qirg'oqlar tog'li daryolar","tog'oldi, past tog'lar, o'rta tog'lar","saponinli, manzarali","Jung'or Olatovi, Tyanshan, Pomir-Oloy","Jung'or Olatovi, Tyanshan (Terskay va Kungay Olatov, Qirg'iz va Farg'ona tizmasi), Pomir-Oloy (Oloy tizmasi)",janubiy yonbag'ir Qurama va shimoliy yonbag'ir Oloy tizmasi,,yo'q,false,многолетнее,perennial,"предгорья, низкогорья, среднегорья","foothills, low mountains, mid mountains","сапониноносное, декоративное","saponin-bearing, ornamental"
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Dianthus L.,Гвоздика,Dianthus pavlovii Lazkov,гвоздика Павлова,Pavlov chinniguli,,ko'p yillik,"toshloq, shag'alli yonbag'irlar, tosh sochilmalari",baland tog'lar,foydalanilmaydi,g'arbiy Tyanshan,,"tizmalari Piskom, Maydontol",G'arbiy Tyanshan endemigi,Ugom-Chotqol milliy tabiat bog'i,false,многолетнее,perennial,высокогорья,high mountains,не используется,not used
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Dianthus L.,Гвоздика,Dianthus seravschanicus Schischk.,гвоздика зарафшанская,Zaravshon chinniguli,,ko'p yillik,"mayda tuproqli, toshloq yonbag'irlar, qoyalar, tosh sochilmalari","past tog'lar, o'rta tog'lar",saponinli,"g'arbiy Tyanshan, g'arbiy Pomir-Oloy","g'arbiy Tyanshan, g'arbiy Pomir-Oloy","tizmalari Qurama, Hisor, Ko'hitang, Bobotog'",Tog'li o'rta Osiyo endemigi,"Hisor, Surxon qo'riqxonalar",false,многолетнее,perennial,"низкогорья, среднегорья","low mountains, mid mountains",сапониноносное,saponin-bearing
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Dianthus L.,Гвоздика,Dianthus subscabridus Lincz.,гвоздика почтишероховатая,dag'alroq chinnigul,,ko'p yillik,"toshloq, shag'alli yonbag'irlar, qoyalar, quruq o'zanlar","o'rta tog'lar, baland tog'lar",foydalanilmaydi,Pomir-Oloy,Pomir-Oloy,"tizmalari Turkiston, Molguzar",Pomir-Oloy endemigi,"Zomin qo'riqxonasi, Zomin milliy tabiat bog'i",false,многолетнее,perennial,"среднегорья, высокогорья","mid mountains, high mountains",не используется,not used
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Dianthus L.,Гвоздика,Dianthus superbus L.,гвоздика пышная,xo'rpaygan chinnigul,http://www.plantarium.ru/page/view/item/13189.html,ko'p yillik,"mayda tuproqli, shag'alli, toshloq yonbag'irlar, qoyalar, tosh sochilmalari","o'rta tog'lar, baland tog'lar","saponinli, dorivor, manzarali","Yevropa, Sibir, Uzoq Sharq, O'rta Osiyo, g'arbiy Xitoy, Mongoliya","Saur, Tarbag'atoy, Jung'or Olatovi, Tyanshan (markaziy va g'arbiy), Qirg'iz va Talas Olatov","tizmalari Qorajontov, Ugom, Piskom, Maydontol, Chotqol, Qurama",,"Chotqol qo'riqxonasi, Ugom-Chotqol milliy tabiat bog'i",false,многолетнее,perennial,"среднегорья, высокогорья","mid mountains, high mountains","сапониноносное, лекарственное, декоративное","saponin-bearing, medicinal, ornamental"
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Dianthus L.,Гвоздика,Dianthus tetralepis Nevski ex Schischk.,гвоздика четырехзубцовая,to'rttishli chinnigul,http://www.plantarium.ru/page/view/item/13196.html,ko'p yillik,"lyossli, mayda tuproqli, toshloq yonbag'irlar, tog' etaklari tekisliklar, qoldiq tog'li past tog'lar, daryo vodiylari, gilli cho'llar","tekislik, tog'oldi, past tog'lar, o'rta tog'lar","saponinli, manzarali","Qizilqum, g'arbiy Tyanshan, Pomir-Oloy, Kopetdog'","Qizilqum (janubi-sharqiy), Tyanshan (g'arbiy va Chu-Ili tog'lari), Pomir-Oloy, Kopetdog'","barcha tog'li va tog'oldi hududlar, qoldiq tog'lar Qizilqum",O'rta Osiyo endemigi,"Kitob, Nurota, Surxon qo'riqxonalar",false,многолетнее,perennial,"равнина, предгорья, низкогорья, среднегорья","plain, foothills, low mountains, mid mountains","сапониноносное, декоративное","saponin-bearing, ornamental"
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Dianthus L.,Гвоздика,Dianthus ugamicus Vved.,гвоздика угамская,Ugom chinniguli,,ko'p yillik,"lyossli, mayda tuproqli, shag'alli, toshloq yonbag'irlar, qoyalar","tog'oldi, past tog'lar, o'rta tog'lar",foydalanilmaydi,g'arbiy Tyanshan,g'arbiy Tyanshan,,G'arbiy Tyanshan endemigi,"Chotqol qo'riqxonasi, Ugom-Chotqol milliy tabiat bog'i",false,многолетнее,perennial,"предгорья, низкогорья, среднегорья","foothills, low mountains, mid mountains",не используется,not used
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Dianthus L.,Гвоздика,Dianthus uzbekistanicus Lincz.,гвоздика узбекистанская,O'zbekiston chinniguli,http://www.plantarium.ru/page/view/item/13205.html,ko'p yillik,"mayda tuproqli, shag'alli, toshloq yonbag'irlar, qoyalar, tosh sochilmalari",o'rta tog'lar,foydalanilmaydi,g'arbiy Pomir-Oloy,"Pomir-Oloy (Turkiston, Zarafshon va Hisor tizmalari)","tizmalari Zarafshon, Hisor","G'arbiy Pomir-Oloy endemigi, O'zbekiston endemigi","Hisor, Kitob qo'riqxonalar",true,многолетнее,perennial,среднегорья,mid mountains,не используется,not used
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Saponaria L.,Мыльнянка,Saponaria griffithiana Boiss.,мыльнянка Гриффита,Griffit yersovuni,,ko'p yillik,"toshloq, shag'alli yonbag'irlar, qoyalar, tosh sochilmalari, shag'alzorlar","o'rta tog'lar, baland tog'lar",foydalanilmaydi,"Pomir-Oloy, Afg'oniston",Pomir-Oloy,"tizmalari Hisor, Turkiston",,"Hisor, Zomin qo'riqxonalar, Zomin milliy tabiat bog'i",false,многолетнее,perennial,"среднегорья, высокогорья","mid mountains, high mountains",не используется,not used
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Velezia L.,Велесия,Velezia rigida L.,"велесия жесткая, велеция жесткая",qattiq veletsiya,http://www.plantarium.ru/page/view/item/39963.html,bir yillik,"lyossli, mayda tuproqli, shag'alli, toshloq yonbag'irlar, tosh sochilmalari, shag'alzorlar, quruq o'zanlar","tog'oldi, past tog'lar",foydalanilmaydi,"Kavkaz, Qrim, O'rta yer dengizi mintaqasi, o'rta va Old Osiyo","Tyanshan, Pomir-Oloy, Kopetdog'",,,,false,однолетнее,annual,"предгорья, низкогорья","foothills, low mountains",не используется,not used
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Amaranthaceae,Амарантовые,Amaranthaceae,Celosia L.,Целозия,Celosia argentea L.,целозия серебристая,kumushkabi gultojxo'roz,http://www.plantarium.ru/page/view/item/9315.html,bir yillik,"aholi punktlari, vohalar","tekislik, tog'oldi",manzarali,"O'rta yer dengizi mintaqasi, Afrika, Hindiston, Xitoy, Yaponiya, Amerika. O'zbekistonda ekiladi sifatida manzarali, ba'zan yovvoyilashadi",rastenie sobiralos atrofi sh. Toshkent dalalarx markaziy stansiya NIXI 1929 va 1930 sh.,,,,false,однолетнее,annual,"равнина, предгорья","plain, foothills",декоративное,ornamental
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Amaranthaceae,Амарантовые,Amaranthaceae,Amaranthus L.,Щирица,Amaranthus albus L.,щирица белая,"oq tojixo'roz, amarant",http://www.plantarium.ru/page/view/item/2553.html,bir yillik,"dalalar, bo'sh yerlar, begona o'tli joylar, yoqalari yo'llar, qirg'oqlar ariqlar","tekislik, tog'oldi, past tog'lar","begona o't, yem-xashakbop",Shimoliy yarimsharning mo'tadil mintaqasi (Golarktika). Karantinniy begona o't,Butun O'rta Osiyo bo'ylab,,,,false,однолетнее,annual,"равнина, предгорья, низкогорья","plain, foothills, low mountains","сорное, кормовое","weed, fodder"
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Amaranthaceae,Амарантовые,Amaranthaceae,Amaranthus L.,Щирица,Amaranthus blitoides S. Watson,щирица жминдовидная,olabutasimon tojixo'roz,http://www.plantarium.ru/page/view/item/2554.html,bir yillik,"dalalar, begona o'tli joylar, yoqalari yo'llar","tekislik, tog'oldi, past tog'lar","begona o't, yem-xashakbop",Shimoliy yarimsharning mo'tadil mintaqasi (Golarktika). vatani Shimoliy Amerika. Yevrosiyo zanosnoy karantinniy begona o't,Butun O'rta Osiyo bo'ylab,,,,false,однолетнее,annual,"равнина, предгорья, низкогорья","plain, foothills, low mountains","сорное, кормовое","weed, fodder"
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Amaranthaceae,Амарантовые,Amaranthaceae,Amaranthus L.,Щирица,Amaranthus blitum L.,щирица жминда,"yovvoyi gultojxo'roz, machin, eshaksho'ra",http://www.plantarium.ru/page/view/item/2555.html,bir yillik,"dalalar, bog'lar, tomorqalar, qirg'oqlar ariqlar, begona o'tli joylar","tekislik, tog'oldi, past tog'lar",begona o't,"Yevropa, Kavkaz, O'rta yer dengizi mintaqasi, O'rta Osiyo, Kichik Osiyo, Eron. kirib kelgan Avstraliya","g'arbiy Tyanshan, Pomir-Oloy (bundan tashqari Pomir), Kopetdog'",,,,false,однолетнее,annual,"равнина, предгорья, низкогорья","plain, foothills, low mountains",сорное,weed
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Amaranthaceae,Амарантовые,Amaranthaceae,Amaranthus L.,Щирица,Amaranthus deflexus L.,щирица согнутая,"egilgan tojixo'roz, amarant",http://www.plantarium.ru/page/view/item/2561.html,bir yillik,"bog'lar, uzumzorlar, begona o'tli joylar","tekislik, tog'oldi, past tog'lar",begona o't,"Qrim, Kavkaz, O'rta yer dengizi mintaqasi, O'rta Osiyo, Kichik Osiyo, Afrika, shimoliy va Janubiy Amerika","Mirzacho'l, atrofi sh. Kizil-Atrek, Ashxobod",,,,false,однолетнее,annual,"равнина, предгорья, низкогорья","plain, foothills, low mountains",сорное,weed
