division_lat,division_ru,class_lat,class_ru,order_lat,order_ru,family_lat,family_ru,family_takhtajan,genus_lat,genus_ru,species_sci,species_ru,species_uz,plantarium_url,life_form,habitat_env,habitat_place,usage,range_world,range_central_asia,range_uzbekistan,endemism,protected_areas,red_book,life_form_ru,life_form_en,habitat_place_ru,habitat_place_en,usage_ru,usage_en,habitat_env_ru,habitat_env_en,range_world_ru,range_world_en,range_central_asia_ru,range_central_asia_en,range_uzbekistan_ru,range_uzbekistan_en
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Ranunculales,Лютикоцветные,Papaveraceae,Маковые,Fumariaceae,Corydalis DC.,Хохлатка,Corydalis popovii Nevski,хохлатка Попова,Popov burmaqorasi,,ko'p yillik,"mayda tuproqli, shag'alli va toshloq yonbag'irlar, ola-bula rangli tog' jinslari ochilmalari, shag'alzorlar, nam va soya joylar","o'rta tog'lar, baland tog'lar","alkaloidli, manzarali",janubi-g'arbiy Pomir-Oloy,"Pomir-Oloy (tizmasi Hisor va uning janubi-g'arbiy tarmoqlari, past tog'lar janubiy Tojikiston)","Hisor tizmasi, Boysun tog'lari, Ko'hitang",Janubi-g'arbiy Pomir-Oloy endemigi,Surxon qo'riqxonasi,false,многолетнее,perennial,"среднегорья, высокогорья","mid mountains, high mountains","алкалоидоносное, декоративное","alkaloid-bearing, ornamental","мелкоземистые, щебнистые и каменистые склоны, обнажения пестроцветных пород, галечники, влажные и тенистые места","fine-earth, gravelly and rocky slopes, variegated rock outcrops, gravel beds, moist and shady places",Юго-западный Памиро-Алай,Southwestern Pamir-Alai,"Памиро-Алай (хребет Гиссар и его юго-западный отроги, низкий горы южный Таджикистан)","Pamir-Alai (range Hissar and its southwestern spurs, low mountains southern Tajikistan)","Гиссарский хребет, Байсунские горы, Кугитанг","Hissar Range, Baysun Mountains, Kugitang"
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Ranunculales,Лютикоцветные,Papaveraceae,Маковые,Fumariaceae,Corydalis DC.,,Corydalis ruksansii Lidén,Хохлатка Рукшанса,Rukshan burmaqorasi,,,,,,,,,,,false,,,,,,,,,,,,,,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Ranunculales,Лютикоцветные,Papaveraceae,Маковые,Fumariaceae,Corydalis DC.,Хохлатка,Corydalis sangardanica Mikhailova,хохлатка сангардакская,Sangardak burmaqorasi,,ko'p yillik,,,"alkaloidli, manzarali",Hisor tizmasi (havzasi d. Sangardak),,janubiy yonbag'ir Hisor tizmasi (havzasi d. Sangardak),"Janubiy yonbag'ri Hisor tizmasi endemigi, O'zbekiston endemigi",yo'q,false,многолетнее,perennial,,,"алкалоидоносное, декоративное","alkaloid-bearing, ornamental",,,Гиссар хребет (бассейн р. Сангардак),Hissar range (basin r. Sangardak),,,южный склон Гиссар хребет (бассейн р. Сангардак),southern slope Hissar range (basin r. Sangardak)
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Ranunculales,Лютикоцветные,Papaveraceae,Маковые,Fumariaceae,Corydalis DC.,Хохлатка,Corydalis schanginii (Pall.) B.Fedtsch.,хохлатка Шангина,Shangin burmaqorasi,http://www.plantarium.ru/page/view/item/11360.html,ko'p yillik,"sho'rtob qumlar, taqirlar, qoyalar, toshloq, shag'alli yonbag'irlar","tekislik, tog'oldi, past tog'lar","alkaloidli, manzarali",O'rta Osiyo (shimoliy qismi),"Zaysan botiq, Qozog'iston past tog'lik, Balxashbo'yi, Orolbo'yi va Kaspiybo'yi cho'llar, Betpaqdala, Mo'yinqum, Tyanshan (Chu-Ili tog'lari, tizmasi Qoratov)",,,yo'q,false,многолетнее,perennial,"равнина, предгорья, низкогорья","plain, foothills, low mountains","алкалоидоносное, декоративное","alkaloid-bearing, ornamental","солонцеватые пески, такыры, скалы, каменистые, щебнистые склоны","solonetzic sands, takyrs, rocks, rocky, gravelly slopes",средний Азия (северный часть),middle Asia (northern part),"Зайсанская котловина, Казахский мелкосопочник, Прибалхашье, Приаралье и Прикаспийский пустыни, Бетпак-Дала, Мойынкум, Тянь-Шань (Чу-Илийский горы, хребет Каратау)","Zaysan Basin, Kazakh Uplands, Balkhash region, Aral region and Caspian deserts, Betpak-Dala, Moyinkum, Tian Shan (Chu-Ili mountains, range Karatau)",,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Ranunculales,Лютикоцветные,Papaveraceae,Маковые,Fumariaceae,Corydalis DC.,Хохлатка,Corydalis schelesnowiana Regel & Schmalh.,хохлатка Железнова,Jeleznov burmaqorasi,http://www.plantarium.ru/page/view/item/11361.html,ko'p yillik,"toshloq yonbag'irlar, qoyalar, tosh sochilmalari, ochilmalar gips","past tog'lar, o'rta tog'lar",foydalanilmaydi,Pomir-Oloy,"Pomir-Oloy (tizmalari Turkiston, Zarafshon, Bobotog')","tizmalari Turkiston, Zarafshon, Bobotog'",Pomir-Oloy endemigi,,false,многолетнее,perennial,"низкогорья, среднегорья","low mountains, mid mountains",не используется,not used,"каменистые склоны, скалы, каменистые осыпи, обнажения гипс","rocky slopes, rocks, rock scree, outcrops gypsum",Памиро-Алай,Pamir-Alai,"Памиро-Алай (хребты Туркестан, Зарафшан, Бабатаг)","Pamir-Alai (ranges Turkestan, Zarafshan, Babatag)","хребты Туркестан, Зарафшан, Бабатаг","ranges Turkestan, Zarafshan, Babatag"
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Ranunculales,Лютикоцветные,Papaveraceae,Маковые,Fumariaceae,Corydalis DC.,Хохлатка,Corydalis sewerzowii Regel,хохлатка Северцова,Severtsov burmaqorasi,http://www.plantarium.ru/page/view/item/11364.html,ko'p yillik,"mayda tuproqli, shag'alli, toshloq yonbag'irlar, qoyalar, tosh sochilmalari","tog'oldi, past tog'lar, o'rta tog'lar","alkaloidli, manzarali","g'arbiy Tyanshan, g'arbiy Pomir-Oloy","g'arbiy Tyanshan, Pomir-Oloy (tizmasi Turkiston - g'arbiy qismi, Pistalitov, Nurota, Samarqand tog'lari, tizmasi Zarafshon: Urgut, Mogian, Shink, janubroqda ma'lum yaqinida pocht. stansiya Kaynar bo'ylab doroge orasida Aman-Kutanom va Kitabom va dan vodiylar d. G'uzor, bo'ylab uning levoberejyu, severnom sklone tog'lar Kara-Pil)","tizmalari Chotqol, Turkiston, Zarafshon, Hisor, Ko'hitang, Nurota tog'lari, Prinuratinskie qoldiq tog'lar, Toshkent cho'li",Tog'li o'rta Osiyo endemigi,"Hisor, Zomin, Kitob, Nurota, Surxon va Chotqol qo'riqxonalar, Ugom-Chotqol milliy tabiat bog'i",false,многолетнее,perennial,"предгорья, низкогорья, среднегорья","foothills, low mountains, mid mountains","алкалоидоносное, декоративное","alkaloid-bearing, ornamental","мелкоземистые, щебнистые, каменистые склоны, скалы, каменистые осыпи","fine-earth, gravelly, rocky slopes, rocks, rock scree","Западный Тянь-Шань, Западный Памиро-Алай","Western Tian Shan, Western Pamir-Alai","Западный Тянь-Шань, Памиро-Алай (хребет Туркестан - западный часть, Писталитау, Нурата, Самарканд горы, хребет Зарафшан: Ургут, Могиан, Шинк, южнее известно вблизи почт. станция Кайнар вдоль дороге между Аман-кутаном и Китабом и от долины р. Гузар, вдоль его левобережю, северном склоне горы Кара-пил)","Western Tian Shan, Pamir-Alai (range Turkestan - western part, Pistalitau, Nurata, Samarkand mountains, range Zarafshan: Urgut, Mogian, Shink, to the south known near pocht. station Kaynar along road between Aman-Kutanom and Kitabom and from valleys r. Guzar, along its levoberejyu, severnom sklone mountains Kara-Pil)","хребты Чаткал, Туркестан, Зарафшан, Гиссар, Кугитанг, Нуратинские горы, Принуратинские останцовые горы, Ташкент пустыня","ranges Chatkal, Turkestan, Zarafshan, Hissar, Kugitang, Nurata Mountains, Near Nurata residual mountains, Tashkent desert"
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Ranunculales,Лютикоцветные,Papaveraceae,Маковые,Fumariaceae,Corydalis DC.,Хохлатка,Corydalis stricta Steph. ex DC.,хохлатка прямая,tik burmaqora,http://www.plantarium.ru/page/view/item/11369.html,ko'p yillik,"toshloq, shag'alli yonbag'irlar, qoyalar, tosh sochilmalari, ola-bula rangli tog' jinslari ochilmalari, sho'rtob joylar, sirtlar","o'rta tog'lar, baland tog'lar","alkaloidli, manzarali","O'rta Osiyo, Oltoy, g'arbiy Xitoy, Mongoliya","Tarbag'atoy, Jung'or Olatovi, Tyanshan (markaziy), Pomir-Oloy (tizmalari Oloyorti - vodiy d. Muksu quyisida Altin-Mazara, Turkiston - shimoliy yonbag'ir hududida qishloqlar. Auchi va Tagiz, janubi-g'arbiy tarmoqlari Hisor tizmasi, Pomir)",Hisor tizmasi,,,false,многолетнее,perennial,"среднегорья, высокогорья","mid mountains, high mountains","алкалоидоносное, декоративное","alkaloid-bearing, ornamental","каменистые, щебнистые склоны, скалы, каменистые осыпи, обнажения пестроцветных пород, солонцеватые места, сырты","rocky, gravelly slopes, rocks, rock scree, variegated rock outcrops, solonetzic places, syrts","Средняя Азия, Алтай, Западный Китай, Монголия","Central Asia, Altai, Western China, Mongolia","Тарбагатай, Джунгарский Алатау, Тянь-Шань (центральный), Памиро-Алай (хребты Заалайский - долина р. Муксу в низовье Алтин-мазара, Туркестан - северный склон на территории сёла. Аучи и Тагиз, юго-западный отроги Гиссар хребет, Памир)","Tarbagatai, Dzungarian Alatau, Tian Shan (central), Pamir-Alai (ranges Trans-Alai - valley r. Muksu in lower reaches Altin-Mazara, Turkestan - northern slope in the territory villages. Auchi and Tagiz, southwestern spurs Hissar range, Pamir)",Гиссарский хребет,Hissar Range
,,,,,,,,,,,Corydalis pseudostricta Popov,,,,,,,,,,,,,false,,,,,,,,,,,,,,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Ranunculales,Лютикоцветные,Papaveraceae,Маковые,Fumariaceae,Cysticorydalis Fedde ex Ikonn.,Вздутохохлатка,Cysticorydalis fedtschenkoana (Regel) Fedde ex Ikonn.,вздутохохлатка Федченко,Fedchenko shishgan burmaqorasi,http://www.plantarium.ru/page/view/item/12406.html,ko'p yillik,"toshloq, shag'alli yonbag'irlar, tosh sochilmalari, qoyalar, morenalar, zax joylar yaqinida muzliklar",baland tog'lar,alkaloidli,"Tyanshan, Pomir-Oloy","Tyanshan, Pomir-Oloy (tizmalari Oloy, Oloyorti, Turkiston, Zarafshon, Hisor, Darvoz, Pyotr I, Shug'non, Pomir)","tizmalari Ugom, Maydontol, Chotqol, Oloy, Turkiston, Hisor",Tog'li o'rta Osiyo endemigi,,false,многолетнее,perennial,высокогорья,high mountains,алкалоидоносное,alkaloid-bearing,"каменистые, щебнистые склоны, каменистые осыпи, скалы, морены, сырые места вблизи ледники","rocky, gravelly slopes, rock scree, rocks, moraines, damp places near glaciers","Тянь-Шань, Памиро-Алай","Tian Shan, Pamir-Alai","Тянь-Шань, Памиро-Алай (хребты Алай, Заалайский, Туркестан, Зарафшан, Гиссар, Дарваз, хребет Петра I, Шугнан, Памир)","Tian Shan, Pamir-Alai (ranges Alai, Trans-Alai, Turkestan, Zarafshan, Hissar, Darvaz, Peter I Range, Shugnan, Pamir)","хребты Угам, Майдантал, Чаткал, Алай, Туркестан, Гиссар","ranges Ugam, Maydantal, Chatkal, Alai, Turkestan, Hissar"
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Ranunculales,Лютикоцветные,Papaveraceae,Маковые,Fumariaceae,Fumaria L.,Дымянка,Fumaria parviflora Lam.,дымянка мелкая,mayda shotara,,bir yillik,"mayda tuproqli, shag'alli, toshloq tuproqlar, bog'lar, dalalar","tekislik, tog'oldi","alkaloidli, dorivor, zaharli, begona o't","Yevropa, Kavkaz, O'rta yer dengizi mintaqasi, O'rta Osiyo, Eron","Tipichnaya F. parviflora uchraydi juda kamdan-kam, Tarqoq holda: atrofi sh. Krasnovodsk, Katta Balxan. Chashche vstrechayutsya uning gibridi bilan F. vaillantii",,,,false,однолетнее,annual,"равнина, предгорья","plain, foothills","алкалоидоносное, лекарственное, ядовитое, сорное","alkaloid-bearing, medicinal, poisonous, weed","мелкоземистые, щебнистые, каменистые почвы, сады, поля","fine-earth, gravelly, rocky soils, gardens, fields","Европа, Кавказ, Средиземноморье, Средняя Азия, Иран","Europe, Caucasus, Mediterranean, Central Asia, Iran","Типичная F. парвифлора встречается очень редко, рассеянно в состоянии: окрестности г. Красноводск, Большой Балхан. Чаще встречаюця его гибриди с F. ваиллантии","Tipichnaya F. parviflora occurs very rarely, scattered in state: surroundings c. Krasnovodsk, Bolshoi Balkhan. Chashche vstrechayutsya its gibridi with F. vaillantii",,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Ranunculales,Лютикоцветные,Papaveraceae,Маковые,Fumariaceae,Fumaria L.,Дымянка,Fumaria vaillantii Loisel.,дымянка Вайяна,Vayyan shotarasi,http://www.plantarium.ru/page/view/item/16648.html,bir yillik,"mayda tuproqli, shag'alli, toshloq yonbag'irlar, ola-bula rangli tog' jinslari ochilmalari, tosh sochilmalari, tashlandiq ekin maydonlari, dalalar, begona o'tli joylar, jeleznodorojnie nasipi, yoqalari yo'llar, aholi punktlari, bog'lar","tekislik, tog'oldi, past tog'lar, o'rta tog'lar","alkaloidli, dorivor, zaharli, begona o't","Yevropa, Kavkaz, O'rta yer dengizi mintaqasi, O'rta Osiyo, Eron, Afg'oniston, Himolay","Butun O'rta Osiyo bo'ylab, bundan tashqari Pomir",Butun O'zbekiston bo'ylab,,,false,однолетнее,annual,"равнина, предгорья, низкогорья, среднегорья","plain, foothills, low mountains, mid mountains","алкалоидоносное, лекарственное, ядовитое, сорное","alkaloid-bearing, medicinal, poisonous, weed","мелкоземистые, щебнистые, каменистые склоны, обнажения пестроцветных пород, каменистые осыпи, заброшенные пашни, поля, сорные места, железнодорожние насипи, обочины дорог, населённые пункты, сады","fine-earth, gravelly, rocky slopes, variegated rock outcrops, rock scree, abandoned fields, fields, weedy places, jeleznodorojnie nasipi, roadsides, settlements, gardens","Европа, Кавказ, Средиземноморье, Средняя Азия, Иран, Афганистан, Гималаи","Europe, Caucasus, Mediterranean, Central Asia, Iran, Afghanistan, Himalayas","по всей Средней Азии, кроме того кроме Памир","throughout Central Asia, besides except Pamir",по всему Узбекистану,throughout Uzbekistan
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Ranunculales,Лютикоцветные,Papaveraceae,Маковые,Fumariaceae,Fumariola Korsh.,Дымяночка,Fumariola turkestanica Korsh.,дымяночка туркестанская,Turkiston shotarachasi,http://www.plantarium.ru/page/view/item/16651.html,ko'p yillik,"toshloq yonbag'irlar, qoyalar, soy qirg'oqlari",o'rta tog'lar,foydalanilmaydi,Oloy tizmasi (havzalari d. Isfayram va Shohimardon),Pomir-Oloy (Oloy tizmasi - havzalari d. Isfayram va Shohimardon),Oloy tizmasi (havzasi d. Shohimardon),Oloy tizmasi endemigi,yo'q,true,многолетнее,perennial,среднегорья,mid mountains,не используется,not used,"каменистые склоны, скалы, сай берега","rocky slopes, rocks, stream shores",Алай хребет (бассейны р. Исфайрам и Шахимардан),Alai range (basins r. Isfayram and Shakhimardan),Памиро-Алай (Алай хребет - бассейны р. Исфайрам и Шахимардан),Pamir-Alai (Alai range - basins r. Isfayram and Shakhimardan),Алай хребет (бассейн р. Шахимардан),Alai range (basin r. Shakhimardan)
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Portulacaceae,Портулаковые,Portulacaceae,Portulaca L.,Портулак,Portulaca oleracea L.,портулак огородный,poliz semizo'ti,http://www.plantarium.ru/page/view/item/29748.html,bir yillik,"dalalar, tashlandiq ekin maydonlari, tashlandiq haydalma yerlar, tomorqalar, begona o'tli joylar, suv havzalari qirg'oqlari","tekislik, tog'oldi, past tog'lar","oziq-ovqatbop, dorivor, alkaloidli, begona o't",Yevrosiyo,Butun O'rta Osiyo bo'ylab,,,,false,однолетнее,annual,"равнина, предгорья, низкогорья","plain, foothills, low mountains","пищевое, лекарственное, алкалоидоносное, сорное","food, medicinal, alkaloid-bearing, weed","поля, заброшенные пашни, заброшенные пахотные земли, приусадебные участки, сорные места, берега водоёмов","fields, abandoned fields, abandoned arable lands, household plots, weedy places, shores of water bodies",Евразия,Eurasia,по всей Средней Азии,throughout Central Asia,,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Stellaria L.,Звездчатка,Stellaria alsinoides Boiss. & Buhse,звездчатка мокрицевидная,yulduzo't,,bir yillik,"toshloq yonbag'irlar, shag'alzorlar","tog'oldi, past tog'lar, o'rta tog'lar, baland tog'lar",foydalanilmaydi,"O'rta Osiyo, Eron","Balxashbo'yi tekisliklar, Betpaqdala, Qizilqum, Tyanshan (Chu - Iliyskie tog'lari, Iliorti Olatov, Qirg'iz Olatov, g'arbiy), Pomir-Oloy, Kopetdog', Katta Balxan",,,,false,однолетнее,annual,"предгорья, низкогорья, среднегорья, высокогорья","foothills, low mountains, mid mountains, high mountains",не используется,not used,"каменистые склоны, галечники","rocky slopes, gravel beds","Средняя Азия, Иран","Central Asia, Iran","Прибалхашье равнины, Бетпак-Дала, Кызылкум, Тянь-Шань (Чу - Илийские горы, Заилийский Алатау, Киргизский Алатау, западный), Памиро-Алай, Копетдаг, Большой Балхан","Balkhash region plains, Betpak-Dala, Kyzylkum, Tian Shan (Chu - Iliyskie mountains, Trans-Ili Alatau, Kyrgyz Alatau, western), Pamir-Alai, Kopet Dag, Bolshoi Balkhan",,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Stellaria L.,Звездчатка,Stellaria alexeenkoana Schischk.,звездчатка Алексеенко,Alekseyenko yulduzo'ti,,ko'p yillik,"tosh sochilmalari, morenalar, daryo qirg'oqlari",baland tog'lar,foydalanilmaydi,Pomir-Oloy,"Pomir-Oloy (Shug'non: dara. d. Vranch, Pomir)",,,,false,многолетнее,perennial,высокогорья,high mountains,не используется,not used,"каменистые осыпи, морены, берега рек","rock scree, moraines, river banks",Памиро-Алай,Pamir-Alai,"Памиро-Алай (Шугнан: ущелье. р. Вранч, Памир)","Pamir-Alai (Shugnan: gorge. r. Vranch, Pamir)",,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Stellaria L.,Звездчатка,Stellaria brachypetala Bunge,звездчатка коротколепестная,kaltatojbargli yulduzo't,,ko'p yillik,"suv havzalari qirg'oqlari, shag'alzorlar, o'tloqlar, dalalar, mayda tuproqli yonbag'irlar, zax joylar yaqinida muzliklar va qorliklar","past tog'lar, o'rta tog'lar, baland tog'lar",zaharli,"Yevropa, Sibir, O'rta Osiyo, g'arbiy Xitoy, Mongoliya","Jung'or Olatovi, Tarbag'atoy, Tyanshan, Pomir-Oloy",,,,false,многолетнее,perennial,"низкогорья, среднегорья, высокогорья","low mountains, mid mountains, high mountains",ядовитое,poisonous,"берега водоёмов, галечники, луга, поля, мелкоземистые склоны, сырые места вблизи ледники и снежники","shores of water bodies, gravel beds, meadows, fields, fine-earth slopes, damp places near glaciers and snowfields","Европа, Сибирь, Средняя Азия, Западный Китай, Монголия","Europe, Siberia, Central Asia, Western China, Mongolia","Джунгарский Алатау, Тарбагатай, Тянь-Шань, Памиро-Алай","Dzungarian Alatau, Tarbagatai, Tian Shan, Pamir-Alai",,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Stellaria L.,Звездчатка,Stellaria graminea L.,"звездчатка злаковая, звездчатка злаковидная",boshoqo'tli yulduzo't,http://www.plantarium.ru/page/view/item/36693.html,ko'p yillik,"suv havzalari qirg'oqlari, shag'alzorlar, o'tloqlar, dalalar, mayda tuproqli yonbag'irlar, zax joylar yaqinida muzliklar va qorliklar","past tog'lar, o'rta tog'lar, baland tog'lar",zaharli,"Yevropa, Sibir, O'rta Osiyo, g'arbiy Xitoy, Mongoliya","Jung'or Olatovi, Tarbag'atoy, Tyanshan, Pomir-Oloy",,,,false,многолетнее,perennial,"низкогорья, среднегорья, высокогорья","low mountains, mid mountains, high mountains",ядовитое,poisonous,"берега водоёмов, галечники, луга, поля, мелкоземистые склоны, сырые места вблизи ледники и снежники","shores of water bodies, gravel beds, meadows, fields, fine-earth slopes, damp places near glaciers and snowfields","Европа, Сибирь, Средняя Азия, Западный Китай, Монголия","Europe, Siberia, Central Asia, Western China, Mongolia","Джунгарский Алатау, Тарбагатай, Тянь-Шань, Памиро-Алай","Dzungarian Alatau, Tarbagatai, Tian Shan, Pamir-Alai",,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Stellaria L.,Звездчатка,Stellaria karatavica Schischk.,звездчатка каратавская,Qoratov yulduzo'ti,http://www.plantarium.ru/page/view/item/24337.html,ko'p yillik,"toshloq, shag'alli yonbag'irlar, qoyalar","past tog'lar, o'rta tog'lar",foydalanilmaydi,"g'arbiy Tyanshan, g'arbiy Pomir-Oloy","g'arbiy Tyanshan (Qurama tizmasi, Qoratov, Talas va Qirg'iz Olatov), Pomir-Oloy (tizmasi Nurota, Zirabuloq balandliklar)","Qurama tizmasi, Nurota va Zirabuloq-Ziyovuddin tog'lari",,,false,многолетнее,perennial,"низкогорья, среднегорья","low mountains, mid mountains",не используется,not used,"каменистые, щебнистые склоны, скалы","rocky, gravelly slopes, rocks","Западный Тянь-Шань, Западный Памиро-Алай","Western Tian Shan, Western Pamir-Alai","западный Тянь-Шань (Кураминский хребет, Каратау, Талас и Киргизский Алатау), Памиро-Алай (хребет Нурата, Зирабулак возвышенности)","western Tian Shan (Kurama range, Karatau, Talas and Kyrgyz Alatau), Pamir-Alai (range Nurata, Zirabulak uplands)","Кураминский хребет, Нурата и горы Зирабулак-Зиатдин","Kurama range, Nurata and Zirabulak-Ziatdin Mountains"
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Stellaria L.,Звездчатка,Stellaria kotschyana Fenzl,звездчатка Кочи,Kochi yulduzo'ti,,ko'p yillik,"toshloq, shag'alli yonbag'irlar, tosh sochilmalari","past tog'lar, o'rta tog'lar, baland tog'lar",foydalanilmaydi,Kopetdog',Kopetdog',,,,false,многолетнее,perennial,"низкогорья, среднегорья, высокогорья","low mountains, mid mountains, high mountains",не используется,not used,"каменистые, щебнистые склоны, каменистые осыпи","rocky, gravelly slopes, rock scree",Копетдаг,Kopet Dag,Копетдаг,Kopet Dag,,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Stellaria L.,Звездчатка,Stellaria media (L.) Vill.,звездчатка средняя,o'rtacha yulduzo't,http://www.plantarium.ru/page/view/item/36714.html,bir yillik,"yoqalari yo'llar, suv havzalari qirg'oqlari, nam va soya joylar, aholi punktlari, bog'lar, begona o'tli joylar","tekislik, tog'oldi, past tog'lar, o'rta tog'lar","begona o't, saponinli, dorivor, bo'yoqbop",Shimoliy yarimsharning mo'tadil mintaqasi (Golarktika),Butun O'rta Osiyo bo'ylab (zanosnoy begona o't),,,,false,однолетнее,annual,"равнина, предгорья, низкогорья, среднегорья","plain, foothills, low mountains, mid mountains","сорное, сапониноносное, лекарственное, красильное","weed, saponin-bearing, medicinal, dye","обочины дорог, берега водоёмов, влажные и тенистые места, населённые пункты, сады, сорные места","roadsides, shores of water bodies, moist and shady places, settlements, gardens, weedy places",умеренный пояс Северного полушария (Голарктика),temperate zone of the Northern Hemisphere (Holarctic),по всей Средней Азии (заносной сорные трава),throughout Central Asia (adventive weedy grass),,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Magnoliopsida,Двудольные,Caryophyllales,Гвоздичноцветные,Caryophyllaceae,Гвоздичные,Caryophyllaceae,Stellaria L.,Звездчатка,Stellaria neglecta Weihe,звездчатка пренебреженная,ko'rimsiz yulduzo't,http://www.plantarium.ru/page/view/item/36719.html,bir yillik,"daryo vodiylari, bog'lar, dalalar, begona o'tli joylar, yoqalari yo'llar, butazorlar, sazliklar, nam va soya joylar","tekislik, tog'oldi, past tog'lar, o'rta tog'lar",begona o't,"Yevropa, Qrim, Kavkaz, O'rta yer dengizi mintaqasi, O'rta Osiyo, Kichik Osiyo, Xitoy, Yaponiya","Mirzacho'l, Tarbag'atoy, Jung'or Olatovi, Tyanshan, Pomir-Oloy (bundan tashqari Pomir), Kopetdog', Katta Balxan",,,,false,однолетнее,annual,"равнина, предгорья, низкогорья, среднегорья","plain, foothills, low mountains, mid mountains",сорное,weed,"речные долины, сады, поля, сорные места, обочины дорог, кустарники, заболоченные места, влажные и тенистые места","river valleys, gardens, fields, weedy places, roadsides, shrublands, marshy places, moist and shady places","Европа, Крым, Кавказ, Средиземноморье, Средняя Азия, Малая Азия, Китай, Япония","Europe, Crimea, Caucasus, Mediterranean, Central Asia, Asia Minor, China, Japan","Голодная степь, Тарбагатай, Джунгарский Алатау, Тянь-Шань, Памиро-Алай (кроме того кроме Памир), Копетдаг, Большой Балхан","Mirzachul, Tarbagatai, Dzungarian Alatau, Tian Shan, Pamir-Alai (besides except Pamir), Kopet Dag, Bolshoi Balkhan",,
